Award,Domicile,Father's Name,Mother's Name,Name,Rank at time of Award,Service No.,Service Particulars of Awardee,Unit,Year of Award
ASHOKA CHAKRA,,NA,NA,NB SUB GURNAM SINGH,NB SUB,JC-47692,,ENGRS,1974 (Republic Day)
ASHOKA CHAKRA,,NA,NA,MUNNI	LAL,,,,,1974 (Republic Day)
ASHOKA CHAKRA,,NA,NA,2/LT CYRUS ADDIE PITHAWALLA,2/LT,SS-30122,,17 JAK RIF,1981 (Republic Day)
ASHOKA CHAKRA,,NA,NA,COLONEL YURIE VASILEVICH MALYSHEV,,,,,1984 (Republic Day)
ASHOKA CHAKRA,,NA,NA,MR. GENNADY MIKHAILOVICH STREKALOV,,,,,1984 (Republic Day)
ASHOKA CHAKRA,Secunderabad (AP),Shri DN Sharma,NA,SQN LDR RAKESH SHARMA,SQN LDR,12396,WG CDR RAKESH SHARMA AC (12396) F(P) (Retd),,1984
ASHOKA CHAKRA,,NA,NA,MAJ BHUKANT MISRA,MAJ,IC-22479,,KUMAON,1985 (Republic Day)
ASHOKA CHAKRA,,NA,NA,CAPT JASBIR SINGH RAINA,CAPT,IC-37068,,GUARDS,1985 (Republic Day)
ASHOKA CHAKRA,,BHAL  SINGH,NA,LT RAM PRAKASH ROPERIA,LT,IC-39994,,MADRAS,1985 (Republic Day)
ASHOKA CHAKRA,,NA,NA,NK BHAWANI DATT JOSHI,NK,4050561,,GARH RIF,1985 (Republic Day)
ASHOKA CHAKRA,,NA,NA,NK NIRBHAY SINGH,NK,4167546,,KUMAON,1985 (Republic Day)
ASHOKA CHAKRA,,NA,NA,L/HAV CHHERING MUTUP,L/HAV,9920311,,LADAKH SCOUTS,1985 (Republic Day)
ASHOKA CHAKRA,,NA,NA,VIJAY JAGIRDAR,,,,,1986
ASHOKA CHAKRA,,NA,NA,NEERJA MISHRA,,,,,1987
ASHOKA CHAKRA,,NA,NA,RANDHIR PRASAD VERMA,,,,,1991
ASHOKA CHAKRA,,NA,NA,CAPT SANDEEP SHANKLA,CAPT,IC-43956,,18 DOGRA,1992 (Republic Day)
ASHOKA CHAKRA,,RAJ  SINGH,NA,2/LT RAKESH SINGH,2/LT,IC-51242,,22 GDRS,1993 (Republic Day)
ASHOKA CHAKRA,ERNAKULAM,R NEELA KANTAN,NA,"COL NEELAKANTAN JAYACHANDRAN NAIR, KC",COL,IC-25070,,16 MLI,1994 (Republic Day)
ASHOKA CHAKRA,HARDOI,R S GAUR,NA,LT COL HARSH UDAY SINGH GAUR,LT COL,IC-36177,,10 BIHAR,1995 (Republic Day)
ASHOKA CHAKRA,Mahendragarh(HR),MANGAL SINGH,SARTI DEVI,Nb Sub SUJJAN SINGH,Nb Sub,JC-216611,,13 KUMAON,1995 (Republic Day)
ASHOKA CHAKRA,ROHTAK,DHARAM SINGH JOON,NA,"MAJ RAJIV KUMAR JOON, SC",MAJ,IC-50443,,22 GDRS,1995 (Independence Day)
ASHOKA CHAKRA,GURDASPUR,PRABHAT  SINGH,NA,"CAPT ARUN SINGH JASROTIA, SM",CAPT,IC-48171,,9 SF REGT,1996 (Republic Day)
ASHOKA CHAKRA,HOSIARPUR,BABU RAM RANA,NA,LT COL SHANTI  SWARUP RANA,LT COL,IC-34425,,"BIHAR,13  RR",1997 (Republic Day)
ASHOKA CHAKRA,JODHPUR,P N DATT,ANIT DATT,2/LT PUNEET NATH DATT,2/LT,IC-53987,,1/11 GR,1997 (Independence Day)
ASHOKA CHAKRA,JODHPUR,RULIA  RAM,NA,"MAJ SUDHIR KUMAR, SM**",MAJ,IC-47623,,9 PARA (SF),2000 (Republic Day)
ASHOKA CHAKRA,,NA,NA,KAMLESH KUMARI,,,,,2002
ASHOKA CHAKRA,,NA,NA,MATBAR SINGH NEGI,,,,,2002
ASHOKA CHAKRA,,NA,NA,JAGDISH PRASAD YADAV,,,,,2002
ASHOKA CHAKRA,,NA,NA,NK RAMBEER SINGH TOMAR,NK,4183850,,"KUMAON, 26 RR",2002 (Republic Day)
ASHOKA CHAKRA,"Jammu,   State- J&K;",Sh Khajan Singh,Smt Sant Kaur,SUB SURINDER SINGH,SUB,JC-498232,,3 SIKH,2002 (Independence Day)
ASHOKA CHAKRA,,NA,NA,SURESH CHAND YADAV,,,,,2003
ASHOKA CHAKRA,,NA,NA,PTR SANJOG CHHETRI,PTR,9423984,,9 PARA (SF),2003 (Independence Day)
ASHOKA CHAKRA,GURDASPUR,NA,NA,LT TRIVENI SINGH,LT,IC-61417,,5 JAK LI,2004 (Republic Day)
ASHOKA CHAKRA,TIRVANDRUM,K  RADHAKRISHNAN  NAIR,NA,CAPT HARSHAN R,CAPT,IC-62541,,2 PARA (SF),2007 (Independence Day)
ASHOKA CHAKRA,,NA,NA,"NB SUB CHUNNI LAL, VRC, SM",NB SUB,JC-593527,,8 JAK LI,2007 (Independence Day)
ASHOKA CHAKRA,BANGALORE,NA,NA,COL VASANTH VENUGOPAL,COL,IC-48714,,9 MLI,2007 (Independence Day)
ASHOKA CHAKRA,"Shida Cottage Jaiaw Lansona Lane,Shilong-793002,Meghalaya",NA,NA,Late Shri R.P Diengdoh,,,,,2008
ASHOKA CHAKRA,"Qtr. No.-D/4, OSAP-7 Bn. Colony, PO Saonik School, PS Chandrashekharpur, BhubneswarDistt. Khurda, Orissa-751005.",NA,NA,Late Pramod Kumar Satapathy,,,,,2008
ASHOKA CHAKRA,JABALPUR,S K MURTHY,MALA MURTHY,MAJ DINESH RAGHU RAMAN,MAJ,IC-59263,,"JAT, 34 RR",2008 (Republic Day)
ASHOKA CHAKRA,,NA,NA,Pramod Kumar Satpathy,,,,,2008 (Independence Day)
ASHOKA CHAKRA,"14,Rakshak Society,Pimple-Nillakh,Aundh camp,Pune-411027, Maharashtra",NA,NA,Late Ashok Marutrao kamte,,,,,2009
ASHOKA CHAKRA,"55-A/2,European Bunglow,Sir Bhalchandra Road,Near Tilak Bridge,Dadar-Mumbai-400014",NA,NA,Late Hemant Kamlakar Karkare,,,,,2009
ASHOKA CHAKRA,"Room no. 15, Bldg. no. 7, Worli Police Camp, Sir Pochkhanwala Road, Worli, Mumbai-400030.",NA,NA,Constable Tukaram Gopal Ombale,,,,,2009
ASHOKA CHAKRA,"601,Ahimsa Terrace,Pahadi School Road No.2, Mumbai-400063",NA,NA,Late Vijay Shahadev Salaskar,,,,,2009
ASHOKA CHAKRA,"Flat No.-D-703, Om Satyam Apartments, Plot No.-13, Sector-4,Dwarka,New Delhi",NA,NA,Late Mohan Chand Sharma,,,,,2009
ASHOKA CHAKRA,ALLEPPY,P I THOMAS,ALICE THOMAS,COL  JOJAN THOMAS,COL,IC-45618,,"JAT, 45 RR",2009 (Republic Day)
ASHOKA CHAKRA,BANGALORE,NA,NA,MAJ  SANDEEP UNNIKRISHNAN,MAJ,IC-58660,,"BIHAR, 51 SAG",2009 (Republic Day)
ASHOKA CHAKRA,,NA,NA,HAV  GAJENDER SINGH,HAV,4073611,,"PARA, 51 SAG",2009 (Republic Day)
ASHOKA CHAKRA,,NA,NA,HAV  BAHADUR SINGH BOHRA,HAV,13621503,,10 PARA (SF),2009 (Republic Day)
ASHOKA CHAKRA,,NA,NA,Late Ashok Mamtrao kamte,,,,,2009 (Republic Day)
ASHOKA CHAKRA,,NA,NA,Late Hemant Kamlakar Karkare,,,,,2009 (Republic Day)
ASHOKA CHAKRA,,NA,NA,Tukaram Gopal Ombale,,,,,2009 (Republic Day)
ASHOKA CHAKRA,GHAZIABAD,NA,NA,"MAJ  MOHIT SHARMA, SM",MAJ,IC-59066,,1 PARA (SF),2009 (Independence Day)
ASHOKA CHAKRA,,NA,NA,MAJ  D SREERAM KUMAR,MAJ,SS-40576,,39 ASSAM RIF,2009
ASHOKA CHAKRA,"Sonipat, State- Haryana",SHRI RAM KISHAN,Smt PARMESHWARI,HAV  RAJESH KUMAR,HAV,2890262,,11 RAJ RIF,2010 (Republic Day)
ASHOKA CHAKRA,,AMC,NA,MAJ  LAISHRAM JYOTIN SINGH,MAJ,MR-08609,,"AMC, EMBASSY OF INDIA, KABUL (POSTHUMOUS)",2010 (Independence Day)
ASHOKA CHAKRA,GURDASPUR,JOGINDER  SINGH,NA,LT NAVDEEP SINGH,LT,SS-44448A,,"AOC, 15 MARATHA LI",2012 (Republic Day)
ASHOKA CHAKRA,,NA,NA,Late KLVSSHNV Prasad Babu,,,,,2013 (Republic Day)
ASHOKA CHAKRA,KANCHEEPURAM,INDHU  MUKUND,NA,MAJ MUKUND VARADARAJAN,MAJ,IC-72861M,,"RAJPUT, 44 RR",2014 (Independence Day)
ASHOKA CHAKRA,Bulandshahar (UP),Rajesh Devi,Parmeshwari Devi,NK NEERAJ KUMAR SINGH,NK,16012114A,,"RAJ RIF, 57 RR",2015
ASHOKA CHAKRA,,NA,NA,L/NK MOHAN NATH GOSWAMI,L/NK,13625566W,,9 PARA (SF),2016 (Republic Day)
ASHOKA CHAKRA,,NA,NA,HAV HANGPAN DADA,HAV,13622536N,,"ASSAM, 35 RASHTRIYA RIFLES",2016 (Independence Day)
