Award,Domicile,Father's Name,Mother's Name,Name,Rank at time of Award,Service No.,Service Particulars of Awardee,Unit,Year of Award
MAHA VIR CHAKRA,,Sayaji Sonawale,Savitra Bai,NK KRISHNA SONAWANE,NK,718,,1 MAHAR (MG),1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,NK SISHPAL SINGH,NK,3131692,,2 JAT,1950 (Republic Day)
MAHA VIR CHAKRA,Nabha     State-Punjab,Sh Phuman Singh (NOK),NA,NK CHAND SINGH,NK,16180,,1 SIKH,1950 (Republic Day)
MAHA VIR CHAKRA,Nepal,NA,NA,L/NK RABILAL THAPA,L/NK,2661,,1/1 GR,1950 (Republic Day)
MAHA VIR CHAKRA,PATIALA State –PB,SH NARAIN SINGH,SMT DHER KAUR,SEP HARI SINGH,SEP,4476,,1 PATIALA (RS),1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,SEP DEWAN SINGH,SEP,26301,,4 KUMAON,1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,SEP MAN SINGH,SEP,4128692,,1 PARA (KUMAON),1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,CIV/DHOBY Ram Chander,CIV/DHOBY,NA,,14 FD COY ENGRS,1950 (Republic Day)
MAHA VIR CHAKRA,"Jodhpur, State- Rajasthan",NA,Smt Mot Kaur,RFN DHONKAL SINGH,RFN,2831725,,6 RAJ RIF,1950 (Republic Day)
MAHA VIR CHAKRA,PATIALA State –PB,SH NARAIN SINGH,SMT DHER KAUR,SEP AMAR SINGH,SEP,4212,,1 PATIALA (RS),1950 (Republic Day)
MAHA VIR CHAKRA,Tiruchirappalli (TN),Shri AJ Norohna,NA,WG CDR SB NOROHNA,,1735,WG CDR SB NOROHNA MVC (1735) GD(P) (Deceased),,1950 (Republic Day)
MAHA VIR CHAKRA,Mumbai (Maharashtra),Shri MH Irani,NA,WG CDR MINOO MERWAN ENGINEER,,1614,AIR MSHL MM ENGINEER PVSM MVC (1614) GD(P) (Retd),,1950 (Republic Day)
MAHA VIR CHAKRA,Lyallpur (PB),Shri Trilok Singh,NA,AIR CMDE MEHAR SINGH,,1559,AIR CMDE MEHAR SINGH MVC  (1559) GD(P) (Retd),,1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,LT COL RAJINDER SINGH,LT COL,IC-144,,7 LT CAVALRY,1950 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,"LT COL ANANT SINGH PATHANIA, MC",LT COL,IC-56,,1/5 GR,1950 (Independence Day)
MAHA VIR CHAKRA,,NA,NA,MAJ SATYA PAL CHOPRA,MAJ,IC-1333,,3 PARA MLI,1950 (Independence Day)
MAHA VIR CHAKRA,,NA,NA,MAJ SARDAR MALKIT SINGH BRAR,MAJ,IC-1257,,"1 PARA,KUMAON",1950 (Independence Day)
MAHA VIR CHAKRA,,NA,NA,CAPT DARA DINSHAW MISTRI,CAPT,IC-1857,,"ARTY,40 MED REGT",1950 (Independence Day)
MAHA VIR CHAKRA,,NA,NA,LT KISHAN SINGH RATHOR,LT,SS-13659,,1 RAJPUT,1950 (Independence Day)
MAHA VIR CHAKRA,,NA,NA,L/HAV RAM PRASHAD GURUNG,L/HAV,4131,,1/5 GR,1950 (Independence Day)
MAHA VIR CHAKRA,SANGRUR State –PB,SH NIKKA SINGH,SMT MOHINDER KAUR,JEM LALSINGH,JEM,3091,,1 PATIALA (RS),1950 (Independence Day)
MAHA VIR CHAKRA,,NA,NA,LT COL ARCOT GOVINDARAJ RANGARAJ,LT COL,MR-252,,AMC,1951 (Independence Day)
MAHA VIR CHAKRA,Mumbai (Maharashtra),Shri SR Moolgavkar,NA,WING COMMANDER HRUSHIKESH MOOLGAVKAR,,1644,AIR CHIEF MARSHAL H MOOLGAVKAR PVSM MVC (1644) GD(P) (Retd),,1951
MAHA VIR CHAKRA,,NA,NA,BRIG KANHYA LAL ATAL,BRIG,IC-16,,77 PARA BDE,1952 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,LT COL DHARAM SINGH,LT COL,IC-2447,,"1 PARA,KUMAON",1952 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,MAJ ANIL KRISHNA BARAT,MAJ,MZ-22409,,AMC,1952 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,JEM CHEWANG Rinchan,JEM,NA,,7 BN THE J&K; MILITIA,1952 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,HAV FATEH SINGH,HAV,12742,,3 JAT,1952 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,HAV LAL BAHADUR KHATTRI,HAV,8295,,3/9 GR,1952 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,MAJ NIRODE BARAN BANERJEA,MAJ,MR-281,,AMC,1952 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,MAJ ANNAVI KRISHNASWAMY RAMASWAMY,MAJ,SS-14035,,3 MLI,1953 (Independence Day)
MAHA VIR CHAKRA,,NA,NA,CIV/LABOUR M Ismail,CIV/LABOUR,NA,,CIV LABOUR,1955
MAHA VIR CHAKRA,Nepal,NA,NA,NK MAHABIR THAPA,NK,5030815,,3/1 GR,1962 (Independence Day)
MAHA VIR CHAKRA,Nepal,NA,NA,L/NK RAN BAHADUR GURUNG,L/NK,5333223,,3/1 GR,1962 (Independence Day)
MAHA VIR CHAKRA,Leh    state:J&K;,Tashi Wangail,Chhering Palzom,SUB SONAM STOPDHAN,SUB,9100419,,14 J&K; MILITIA,1962 (Independence Day)
MAHA VIR CHAKRA,Doda  state:J&K;,Khian Singh,Mubhi,HAV SARUP SINGH,HAV,9105087,,14 J&K; MILITIA,1962 (Independence Day)
MAHA VIR CHAKRA,,NA,NA,MAJ SARDUL SINGH RANDHAWA,MAJ,IC-2651,,"RAJPUT,14 J&K; MILITIA",1962 (Independence Day)
MAHA VIR CHAKRA,,NA,NA,MAJ SHER PARTAP SINGH SHRIKENT,MAJ,IC-5192,,GR,1962 (Independence Day)
MAHA VIR CHAKRA,,NA,NA,MAJ MAHANDER SINGH CHAUDHARY,MAJ,IC-8164,,PUNJAB,1962 (Independence Day)
MAHA VIR CHAKRA,,NA,NA,MAJ GURDIAL SINGH,MAJ,IC-1880,,2 RAJPUT,1962 (Independence Day)
MAHA VIR CHAKRA,,NA,NA,CAPT MAHABIR PRASAD,CAPT,IC-8423,,SIKH,1962 (Independence Day)
MAHA VIR CHAKRA,,NA,NA,NK RABI LAL THAPA,NK,5733537,,1/8 GR,1962 (Independence Day)
MAHA VIR CHAKRA,,NA,NA,MAJ AJIT SINGH,MAJ,IC-3276,,JAT,1962 (Independence Day)
MAHA VIR CHAKRA,Smt Kartar Kaur,Sh Sohan Singh,Smt Kartar Kaur,SEP KEWAL SINGH,SEP,3349770,,SIKH att to GR,1962 (Independence Day)
MAHA VIR CHAKRA,Leh    state:J&K;,Chhering Palzor,Spalzes,JEM ISHT TUNDUP,JEM,9100075,,J&K; MILITIA,1962 (Independence Day)
MAHA VIR CHAKRA,,NA,NA,HAV SATINGIAN PHUNCHOK,HAV,9100170,,J&K; MILITIA,1962 (Independence Day)
MAHA VIR CHAKRA,Tamilnadu,NA,NA,2/LT GOPALA KRISHNA VENKATESA PRASANNA RAO,2/LT,IC-13413,,GDRS,1962 (Independence Day)
MAHA VIR CHAKRA,MEERUT,R P KUMAR GOSWAMI,NA,2/LT SHYAMAL DEV GOSWAMI,2/LT,IC-12665,,ARTY,1963 (Republic Day)
MAHA VIR CHAKRA,DELHI,NA,NA,BRIG TAPISHWAR NARAIN RAINA,BRIG,IC-1850,,INF,1963 (Republic Day)
MAHA VIR CHAKRA,Jaipur (Raj),Shri Kamal Nain Rai,NA,SQUADRON LEADER JAG MOHAN NATH,,3946,WG CDR JM NATH  MVC (3946) GD(P) (Retd),,1963 (Republic Day)
MAHA VIR CHAKRA,,Sh Ran Singh,Smt Mansha Devi,NK CHAIN SINGH,NK,2437390,,PUNJAB,1963 (Independence Day)
MAHA VIR CHAKRA,,NA,NA,SEP KANSHI RAM,SEP,2442148,,PUNJAB,1963 (Independence Day)
MAHA VIR CHAKRA,,NA,NA,RFN JASHWANT SINGH RAWAT,RFN,4039009,,GARH RIF,1963 (Independence Day)
MAHA VIR CHAKRA,,NA,NA,LT VED PRAKASH TREHAN,LT,IC-11137,,RAJ RIF,1963 (Independence Day)
MAHA VIR CHAKRA,"LAHORE,PAKISTAN",NA,NA,2/LT BHAGWAN DUTT DOGRA,2/LT,IC-13176,,GR,1964 (Republic Day)
MAHA VIR CHAKRA,CALCUTTA,NA,NA,LT COL BEJOY MOHAN BHATTACHARJEA,LT COL,IC-1338,,GARH RIF,1964 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,"MAJ GEN RAJINDER SINGH, MVC**",MAJ GEN,IC-144,,ARMD,1965 (Independence Day)
MAHA VIR CHAKRA,DEHADUN,SBP MATHUR,NA,MAJ SUSHIL KUMAR MATHUR,MAJ,IC-6622,,ARTY,1965 (Independence Day)
MAHA VIR CHAKRA,FARIDKOT,NA,NA,MAJ BALJIT SINGH RANDHAWA,MAJ,IC-11212,,RAJPUT,1965 (Independence Day)
MAHA VIR CHAKRA,Jalandhar (Punjab),NA,NA,LT COL GURBANS SINGH SANGHA,LT COL,IC-2990,,3 MAHAR,1965 (Independence Day)
MAHA VIR CHAKRA,HOSHIARPUR,RAM SINGH,NA,MAJ RANJIT SINGH DAYAL,MAJ,IC-4004,,1 PARA,1965 (Independence Day)
MAHA VIR CHAKRA,DELHI,NA,NA,MAJ BHASKAR ROY,MAJ,IC-8119,,20 LANCERS,1965 (Independence Day)
MAHA VIR CHAKRA,,NA,NA,CAPT CHANDER NARAIN SINGH,CAPT,IC-12701,,2 GARH RIF,1965 (Independence Day)
MAHA VIR CHAKRA,NEW DELHI,NA,NA,LT COL SALIM CALEB,LT COL,IC-881,,3 CAV,1965 (Independence Day)
MAHA VIR CHAKRA,NEW DELHI,NA,NA,LT COL HARBANS LAL MEHTA,LT COL,IC-4282,,4 MADRAS,1965 (Independence Day)
MAHA VIR CHAKRA,"ENLAND ,UK",NA,NA,LT COL DESMOND HAYDE,LT COL,IC-4036,,3 JAT,1965 (Independence Day)
MAHA VIR CHAKRA,"Jalandhar, State-Punjab",Sh Ujagar Singh,Smt Rattan Kaur,SUB AJIT SINGH,SUB,JC-18340,,4 SIKH,1965 (Independence Day)
MAHA VIR CHAKRA,DELHI,NA,NA,LT COL NARINDRA NATH KHANNA,LT COL,IC-4018,,2 SIKH,1965 (Independence Day)
MAHA VIR CHAKRA,DELHI,NA,NA,MAJ BHUPINDER SINGH,MAJ,IC-4466,,4 HORSE,1965 (Independence Day)
MAHA VIR CHAKRA,GHAZIABAD,NA,NA,MAJ ASA RAM TYAGI,MAJ,IC-13056,,3 JAT,1965 (Independence Day)
MAHA VIR CHAKRA,,NA,NA,MAJ GEN GURBAKSH SINGH,MAJ GEN,IC-324,,8 GR,1965 (Independence Day)
MAHA VIR CHAKRA,DELHI,NA,NA,MAJ GEN HAR KRISHEN SIBAL,MAJ GEN,IC-254,,GR,1965 (Independence Day)
MAHA VIR CHAKRA,,N K S KALAAN,R K S KALAAN,"MAJ GEN SWARUP SINGH KALAAN, MC",MAJ GEN,IC-219,,RAJ RIF,1965 (Independence Day)
MAHA VIR CHAKRA,PUNE,NA,NA,BRIG RAM DHARAM DAS SHIRA,BRIG,IC-2531,,11 GR,1965 (Independence Day)
MAHA VIR CHAKRA,BALLABHGARH,K K SINGH,NA,BRIG KHEM KARAN SINGH,BRIG,IC-2014,,16 CAV,1965 (Independence Day)
MAHA VIR CHAKRA,Bangalore (Karnataka),Shri  W Goodman,NA,WING COMMANDER WILLIAM MACDONALD GOODMAN,,3571,AIR CMDE WM GOODMAN MVC (3571) GD(P) (Retd),,1965
MAHA VIR CHAKRA,Firozpur (Punjab),Shri S Sucha Singh,NA,WING COMMANDER PREM PAL SINGH,,3871,AIR MSHL PP SINGH PVSM MVC (3871) GD(P) (Retd),,1965
MAHA VIR CHAKRA,Mumbai (MH),Shri Nilkanta Padmanabha,NA,SQUADRON LEADER PADMANABHA GAUTAM,,4482,WG CDR P GAUTAM MVC & Bar VM (4482) GD(P) (Retd),,1965
MAHA VIR CHAKRA,MUMBAI,NA,NA,LT COL ARUNKUMAR SHRIDHAR VAIDYA,LT COL,IC-1701,,9 HORSE,1966
MAHA VIR CHAKRA,Jaipur (Raj),Shri Kamal Nain Rai,NA,WG CDR JM NATH,SQN LDR,3946,"WG CDR JM NATH, MVC & Bar (3946) GD(P) (Retd)",,1966
MAHA VIR CHAKRA,TIRUNELVELI,NA,NA,BRIG THOMAS KRISHNAN THEOGARAJ,BRIG,IC-4321,,ARMD / 62 CAV,1966 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,"BRIG ZORAWAR CHAND BAKSHI, VrC, VSM",BRIG,IC-1510,,5 GR,1966 (Republic Day)
MAHA VIR CHAKRA,BARODA,NA,NA,LT COL MADAN MOHAN SINGH BAKSHI,LT COL,IC-1697,,4 HORSE,1966 (Republic Day)
MAHA VIR CHAKRA,JAIPUR,NA,NA,LT COL RAGHUBIR SINGH,LT COL,IC-6596,,18 RAJ RIF,1966 (Republic Day)
MAHA VIR CHAKRA,VELLORE,NA,NA,LT COL PAGADALA KUPPUSWAMY` NANDAGOPAL,LT COL,IC-5499,,6 SIKH LI,1966 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,CAPT GAUTAM MUBAYI,CAPT,IC-15689,,2 DOGRA,1966 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,L/HAV NAUBAT RAM,L/HAV,3940154,,6 DOGRA,1966 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,NK DARSHAN SINGH,NK,9025630,,5 SIKH LI,1966 (Republic Day)
MAHA VIR CHAKRA,CHANDIGARH,NA,NA,LT COL SANT SINGH,LT COL,IC-5479,,6 SIKH LI,1966 (Republic Day)
MAHA VIR CHAKRA,LUDHIANA,NA,NA,"LT COL SAMPURAN SINGH,VrC",LT COL,IC-8041,,19 PUNJAB,1966 (Independence Day)
MAHA VIR CHAKRA,,NA,NA,CAPT KAPIL SING THAPA,CAPT,IC-14682,,JAT,1966 (Independence Day)
MAHA VIR CHAKRA,,NA,NA,SUB TIKABAHADUR THAPA,SUB,JC-7526,,4/8 GR,1966 (Independence Day)
MAHA VIR CHAKRA,LUDHIANA,NA,NA,"MAJ GEN MOHINDAR SINGH,MC",MAJ GEN,IC-524,,ARTY,1966 (Independence Day)
MAHA VIR CHAKRA,ROHTAK,BANPAT SINGH,NA,LT COL RAI SINGH,LT COL,IC-5086,,2 GDRS,1968 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,MAJ HARBHAJAN SINGH,MAJ,IC-14655,,18 RAJPUT,1968 (Republic Day)
MAHA VIR CHAKRA,JAMMU,NA,NA,LT COL MAHATAM SINGH,LT COL,IC-10690,,10 JAK RIF,1968 (Independence Day)
MAHA VIR CHAKRA,Chennai,NA,NA,CDR KP GOPAL RAO,,00079-B,,,1971
MAHA VIR CHAKRA,,NA,NA,Captain MN MULLA,Captain,F-506,,,1971
MAHA VIR CHAKRA,Mysore (Karnakataka),NA,NA,Lieutenant Commander JPA NORONHA,Lieutenant Commander,00422-H,,,1971
MAHA VIR CHAKRA,Pune (Maharashtra),NA,NA,Commander MOHAN NARAYAN RAO SAMANT,Commander,00124-F,,,1971
MAHA VIR CHAKRA,New Delhi,NA,NA,"Captain SWARAJ PARKASH,  AVSM",Captain,00022-Z,,INS Vikrant,1971
MAHA VIR CHAKRA,Haryana,NA,NA,Commander BB YADAV,Commander,00101-B,,,1971
MAHA VIR CHAKRA,,NA,NA,"Lieutenant Commander SK GUPTA, NM",Lieutenant Commander,00311-F,,,1971
MAHA VIR CHAKRA,,NA,NA,"C SINGH, L/S (OD2)",,87600,,,1971
MAHA VIR CHAKRA,Kolkata (West Bengal),Shri TK Banerji,NA,SQUADRON LEADER MADHAVENDRA BANERJI,,4898,AVM M BANERJI  MVC VM (4898) F(P) (Retd),,1971
MAHA VIR CHAKRA,Mumbai (MH),Shri Nilkanta Padmanabha,NA,WING COMMANDER PADMANABHA GAUTAM,,4482,WG CDR P GAUTAM MVC & Bar VM (4482) GD(P) (Retd),,1972
MAHA VIR CHAKRA,Pali (Rajasthan),Shri Bahadur Singh,Smt Roop Kanwar,GROUP CAPTAIN CHANDAN SINGH,,3460,AVM CHANDAN SINGH MVC AVSM VrC (3460) F(P) (Retd),,1972
MAHA VIR CHAKRA,Kolkata (West Bengal),Shri Kunwar Kishan Kaul,Smt  Roop Kumari Kaul,WING COMMANDER SWAROOP KRISHNA KAUL,,4721,AIR CHIEF MARSHAL SK KAUL PVSM MVC ADC (4721) F(P) (Retd),,1972
MAHA VIR CHAKRA,New Delhi,Shri Prem Nath Bhardwaj,NA,SQUADRON LEADER RAVINDER NATH BHARDWAJ,,5001,,,1972
MAHA VIR CHAKRA,Patiala (Punjab),Shri Ram Singh Manget,NA,WING COMMANDER HARCHARAN SINGH MANGET,,4666,AIR CMDE HS MANGET MVC (4666) F(P) (Retd),,1972
MAHA VIR CHAKRA,Mumbai (Maharashtra),Shri AV D’Costa,NA,WING COMMANDER ALLAN ALBERT D’COSTA,,4580,GP CAPT AA D’COSTA MVC VM (4580) F(P) (Retd),,1972
MAHA VIR CHAKRA,New Delhi,Shri S Kartar Singh,NA,WING COMMANDER MAN MOHAN BIR SINGH TALWAR,,4573,GP CAPT MBS TALWAR MVC (4573) F(P) (Retd),,1972
MAHA VIR CHAKRA,Mumbai (Maharashtra),Shri SR Benegal,NA,WING COMMANDER RAMESH SAKHRAM BENEGAL,,4220,AIR CMDE RS BENEGAL  MVC AVSM (4220) F(P) (Retd),,1972
MAHA VIR CHAKRA,Secunderabad (Telangana),Late Shri PR Parker,Late Smt ES Parker,WING COMMANDER CECIL VIVIAN PARKER,,4346,AVM CV PARKER MVC VM (4346) F(P) (Retd),,1972
MAHA VIR CHAKRA,Delhi,Shri HN Vasisht,NA,WING COMMANDER VIDYA BHUSHAN VASISHT,,4584,"AVM VB VASISHT, MVC VM (4584) F(P) (Retd)",,1972
MAHA VIR CHAKRA,LUDHIANA,DILJINDER & JAGDISH,NA,BRIG MOHINDER LAL WHIG,BRIG,IC-3940,,5 GR,1972 (Republic Day)
MAHA VIR CHAKRA,CHANDIGARH,NA,NA,"BRIG SANT SINGH, MVC",BRIG,IC-5479,,SIKH LI,1972 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,2/LT SHAMSHER SINGH SAMRA,2/LT,SS-22826,,8 GUARDS,1972 (Republic Day)
MAHA VIR CHAKRA,Ludhiana (Punjab),Sh Gurcharan Singh,NA,SUB MALKIAT SINGH,SUB,JC-39248,,14 PUNJAB,1972 (Republic Day)
MAHA VIR CHAKRA,"GHAZIPUR,UTTERPRADESH",SHRI HARAKH  NANDAN PANDEY,SMT SAMARTH DEVI,L/NK RAM UGRAH PANDEY,L/NK,13657079,,8 GUARDS,1972 (Republic Day)
MAHA VIR CHAKRA,Nepal,NA,NA,RFN PATI RAM GURUNG,RFN,5037008,,5/1 GR,1972 (Republic Day)
MAHA VIR CHAKRA,JAIPUR,NA,NA,LT COL SWAI BHAWANI SINGH,LT COL,IC-9015,,10 PARA,1972 (Republic Day)
MAHA VIR CHAKRA,DELHI,NA,NA,MAJ DALJIT SINGH NARAG,MAJ,IC-8140,,45 CAV,1972 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,RFN DIL BAHADUR CHETTRI,RFN,5439887,,4/5 GR,1972 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,"BRIG JOGINDER SINGH GHARAYA, KC, VSM",BRIG,IC-1984,,BIHAR,1972 (Republic Day)
MAHA VIR CHAKRA,DELHI,NA,NA,LT COL PREM KUMAR KHANNA,LT COL,IC-7380,,5 SIKH,1972 (Republic Day)
MAHA VIR CHAKRA,DELHI,NA,NA,MAJ ANUP SINGH GAHLAUT,MAJ,IC-13792,,3 DOGRA,1972 (Republic Day)
MAHA VIR CHAKRA,,RAI SINGH MANKOTIA,NA,MAJ BASDEV SINGH MANKOTIA,MAJ,IC-14221,,9 PUNJAB,1972 (Republic Day)
MAHA VIR CHAKRA,MRITSAR,Sh BODH SINGH,SMT TEJ  KAUR,SUB MOHINDER SINGH,SUB,JC-33029,,18 PUNJAB,1972 (Republic Day)
MAHA VIR CHAKRA,"Sangli,  State – Maharashtra",Shri Balkrishna,Smt Sundrabai,SEP PANDU RANG SALUNKHE,SEP,2760401,,15 MLI,1972 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,BRIG ANANT VISHWANATH NATU,BRIG,IC-4703,,9 GR,1972 (Republic Day)
MAHA VIR CHAKRA,MEERUT,BENI SINGH,NA,LT COL RAJKUMAR SINGH,LT COL,IC-7113,,14 PUNJAB,1972 (Republic Day)
MAHA VIR CHAKRA,ALIGARH,THAKUR JAICHAND SINGH,NA,MAJ JAIVIR SINGH,MAJ,IC-14509,,5 SIKH,1972 (Republic Day)
MAHA VIR CHAKRA,"MOHTGOWERY,W. PAKISTAN",NA,NA,MAJ KULDIP SINGH CHANDPURI,MAJ,IC-18067,,23 PUNJAB,1972 (Republic Day)
MAHA VIR CHAKRA,LASAKH,KUNZANG DORJE,NA,"MAJ CHEWANG RINCHEN, MVC",MAJ,IC-16224,,LADAKH SCOUTS,1972 (Republic Day)
MAHA VIR CHAKRA,MADRAS,NA,NA,BRIG KRISHNASWAMI GOWRI SHANKAR,BRIG,IC-3999,,SIGS,1972 (Republic Day)
MAHA VIR CHAKRA,GHAZIABAD,NA,NA,LT COL KASHMIRI LAL RATTAN,LT COL,IC-7661,,6 SIKH,1972 (Republic Day)
MAHA VIR CHAKRA,PALAMPUR,NA,NA,LT COL RATTAN NATH SHARMA,LT COL,IC-5270,,21 PUNJAB,1972 (Republic Day)
MAHA VIR CHAKRA,New Delhi,NA,NA,LT COL SURINDER KAPUR,LT COL,IC-7684,,1 JAK RIF,1972 (Republic Day)
MAHA VIR CHAKRA,DELHI,NATH PRASHAD GAUR,NA,CAPT PRADIP KUMAR GOUR,CAPT,IC-16177,,"660 AOP SQN, ARTY",1972 (Republic Day)
MAHA VIR CHAKRA,TRIPUTHI,NA,NA,LT COL CHITOOR VENUGOPAL,LT COL,IC-5096,,5/1 GR,1972 (Republic Day)
MAHA VIR CHAKRA,NEW DELHI,NA,NA,MAJ VIJAY RATTAN CHOWDHARY,MAJ,IC-11004,,9 ENGRS,1972 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,L/NK DRIG PAL SINGH,L/NK,2960050,,15 RAJPUT,1972 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,L/NK NAR BAHADUR CHHETRI,L/NK,13664646,,12 GUARDS,1972 (Republic Day)
MAHA VIR CHAKRA,NEW DELHI,NA,NA,LT COL HARISH CHANDRA PATHAK,LT COL,IC-7114,,8 SIKH LI,1972 (Republic Day)
MAHA VIR CHAKRA,NOIDA,NA,NA,LT COL KULWANT SINGH PANNU,LT COL,IC-6213,,2 PARA,1972 (Republic Day)
MAHA VIR CHAKRA,MUZAFFAR NAGAR,TUHI RAM SINGH,NA,MAJ DHARAM VIR SINGH,MAJ,IC-14123,,8 GDRS,1972 (Republic Day)
MAHA VIR CHAKRA,,KHET SINGH,NA,COL UDAI SINGH,COL,IC-4868,,8 GR,1972 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,LT COL SUKHJIT SINGH,LT COL,IC-6704,,SCINDE HORSE,1972 (Republic Day)
MAHA VIR CHAKRA,BIJAPUR,NA,NA,BRIG ANTHONY HEROLD EDWARD MICHIGAN,BRIG,IC-4190,,GDRS,1972 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,LT COL VED PRAKASH GHAI,LT COL,IC-7199,,16 MADRAS,1972 (Republic Day)
MAHA VIR CHAKRA,BELGAUM,NA,NA,CAPT SHANKAR SHANKHAPAN WALKAR,CAPT,IC-23473,,18 MADRAS,1972 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,HAV BIR BAHADUR PUN,HAV,5032571,,5/1 GR,1972 (Republic Day)
MAHA VIR CHAKRA,Pathanamthitta State Kerala,PT Philipose,Smt Sosamma,HAV THOMAS PHILIPOSE,HAV,2550166,,16 MADRAS,1972 (Republic Day)
MAHA VIR CHAKRA,"Amritsar,   State- Punjab",Sh Ranga Singh,Smt Dhan Kaur,L/NK SHANGHARA SINGH,L/NK,3355332,,2 SIKH,1972 (Republic Day)
